,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.31725444793701174,0.028378966169958875,0.01633453369140625,0.0015336819969680572,0.001,3,30,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9615278428866237,0.960562845293818,0.95891350455206,0.9578319875432612,0.9608985571734515,0.9599469474898429,0.0013656632990411794,718
1,0.41851205825805665,0.041837754633050284,0.016434669494628906,0.0014031513553768562,0.001,3,40,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.9615278428866237,0.960562845293818,0.95891350455206,0.9580374793981684,0.9608985571734515,0.9599880458608243,0.0013030540026208817,717
2,0.5235195636749268,0.0265834077648365,0.019219112396240235,0.0024674541363004666,0.001,3,50,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9615278428866237,0.960562845293818,0.95891350455206,0.9580374793981684,0.9606102116792522,0.9599303767619844,0.0012673736228219707,719
3,0.7459020137786865,0.030920781401701316,0.020436525344848633,0.0007853783612490191,0.001,3,75,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.9615278428866237,0.960562845293818,0.95891350455206,0.9583669109491866,0.9606102116792522,0.9599962630721881,0.0011722490680405062,716
4,0.9649481773376465,0.02752742392400783,0.024116134643554686,0.0012803178889835476,0.001,3,100,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9641170611375982,0.9606039912910246,0.9599420685216995,0.9583669109491866,0.9606102116792522,0.9607280487157522,0.0018818829626399886,712
5,1.7089454174041747,0.16144444770389563,0.035729265213012694,0.0028093158376695532,0.001,3,200,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.9641170611375982,0.9628013582224693,0.962097596647471,0.9608090655942259,0.9606102116792522,0.9620870586562033,0.0012996605906073534,707
6,2.392263650894165,0.038855080077302234,0.04638462066650391,0.0014248367398104096,0.001,3,300,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 300, 'objective': 'multi:softprob'}",0.9634190541454161,0.9630903325665343,0.9626755016365367,0.9603980785140259,0.9620506183117042,0.9623267170348434,0.001067130431639197,704
7,3.18384108543396,0.046970881615243355,0.05733494758605957,0.0021113230329717447,0.001,3,400,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 400, 'objective': 'multi:softprob'}",0.9630887414507558,0.9632962690279111,0.9628006030128895,0.9603979314744295,0.962091762440123,0.9623350614812217,0.0010507473006019514,701
8,4.0980000495910645,0.14637429525513085,0.07094807624816894,0.007140124472030682,0.001,3,500,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 500, 'objective': 'multi:softprob'}",0.9644489459216434,0.9647801814900473,0.9629655432115146,0.9605207419634347,0.964029439943903,0.9633489705061086,0.001540600053935792,684
9,0.3059358596801758,0.007218629768022116,0.01631784439086914,0.0011540083631851375,0.001,4,30,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 30, 'objective': 'multi:softprob'}",0.9656857040594201,0.9645712455216616,0.9640573466838757,0.9601507234802585,0.9636996342764591,0.9636329308043351,0.001865725520294768,679
10,0.38878278732299804,0.006467034581071554,0.01774258613586426,0.0010669173117963196,0.001,4,40,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 40, 'objective': 'multi:softprob'}",0.9655196596461102,0.9645712455216616,0.9640573466838757,0.9601508196609709,0.9636996342764591,0.9635997411578154,0.0018299917308391073,682
11,0.47612524032592773,0.010164649064390283,0.019704294204711915,0.002227422741410165,0.001,4,50,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 50, 'objective': 'multi:softprob'}",0.9655196596461102,0.9645712455216616,0.9640573466838757,0.9601508196609709,0.9636996342764591,0.9635997411578154,0.0018299917308391073,682
12,0.6997268199920654,0.020382835324168534,0.02292776107788086,0.0009219908174184113,0.001,4,75,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 75, 'objective': 'multi:softprob'}",0.9656014674662015,0.9645712455216616,0.9640573466838757,0.9601508196609709,0.9636996342764591,0.9636161027218337,0.0018473673907915893,680
13,0.8996076107025146,0.014793969584693497,0.02590489387512207,0.0008025798330972575,0.001,4,100,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100, 'objective': 'multi:softprob'}",0.9656014674662015,0.9649005891525884,0.9640573466838757,0.960315889176023,0.9636996342764591,0.9637149853510296,0.0018240489516346482,676
14,1.7894368648529053,0.04107304072404509,0.045509624481201175,0.008230852259160596,0.001,4,200,multi:softprob,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 200, 'objective': 'multi:softprob'}",0.9658483400222415,0.9649830445934904,0.9645095966818403,0.9603985101254365,0.964111056651256,0.963970109614853,0.0018772864464169164,668
