mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_coef0,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
298.31792335510255,26.41110015228951,55.27680721282959,18.910078060742944,-6.8341515142810145,ovr,1,scale,rbf,"{'coef0': -6.8341515142810145, 'decision_function_shape': 'ovr', 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.9703706747760336,0.9706172433631955,0.9699597271307635,0.9688899847943122,0.9698352032219619,0.9699345666572533,0.0005929410065407612,16,0.9704446430588464,0.9707727027043833,0.97012576756181,0.9689778394266052,0.9700297530960382,0.9700701411695366,0.0006052591122737424,16,0.9703706747760336,0.9706172433631955,0.9699597271307635,0.9688899847943122,0.9698352032219619,0.9699345666572533,0.0005929410065407612,16,0.970304549323404,0.9705616676564317,0.969902027326874,0.9688238726444042,0.9697822767197792,0.9698748787341787,0.0005950162718571677,16
297.00112142562864,54.58102956412876,50.27864847183228,13.479228787291623,-3.4309445934750187,ovr,4,auto,rbf,"{'coef0': -3.4309445934750187, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'rbf'}",0.9703706747760336,0.9706172433631955,0.9699186323662365,0.9688899847943122,0.9698352032219619,0.969926347704348,0.0005928200877933378,26,0.9704446430588464,0.9707727027043833,0.9700820286990828,0.9689778394266052,0.9700297530960382,0.9700613933969912,0.0006047077583710692,26,0.9703706747760336,0.9706172433631955,0.9699186323662365,0.9688899847943122,0.9698352032219619,0.969926347704348,0.0005928200877933378,26,0.970304549323404,0.9705616676564317,0.9698604157304185,0.9688238726444042,0.9697822767197792,0.9698665564148875,0.0005948693379683516,26
1699.2201506614686,174.97221932047327,105.66850590705872,1.6706818960821908,-4.987322967713574,ovo,3,scale,sigmoid,"{'coef0': -4.987322967713574, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7325552724582888,0.7298841127640339,0.7340346839812608,0.7240373155796654,0.731599063000863,0.7304220895568224,0.003465294562473109,78,0.7501163418500104,0.7473253495541266,0.7515580987592928,0.742713841062889,0.7495861199174679,0.7482599502287572,0.003089190991989204,77,0.7325552724582888,0.7298841127640339,0.7340346839812608,0.7240373155796654,0.731599063000863,0.7304220895568224,0.003465294562473109,78,0.7354400609082543,0.7329040079179999,0.737526452892097,0.7270487307811283,0.7351501978913471,0.7336138900781654,0.0035946776947944695,78
430.0893419265747,118.19750872543314,3.9576388359069825,0.1049761037516203,2.657199049959644,ovo,5,auto,poly,"{'coef0': 2.657199049959644, 'decision_function_shape': 'ovo', 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}",0.9774800690392044,0.9771513109229885,0.9767403632777184,0.975424320881108,0.9773969506431595,0.9768386029528358,0.0007524442796680276,3,0.9775411276110582,0.977283814596364,0.97693629761116,0.9755206459896762,0.9775926889348058,0.9769749149486129,0.0007634199333511545,3,0.9774800690392044,0.9771513109229885,0.9767403632777184,0.975424320881108,0.9773969506431595,0.9768386029528358,0.0007524442796680276,3,0.9774515293717015,0.9771253200025777,0.9767164866494127,0.9753913566879194,0.9773727899779519,0.9768114965379127,0.0007548511897830966,3
259.6690020084381,62.673496849072315,4.51175537109375,0.6055319775637548,8.174794844303214,ovo,3,scale,poly,"{'coef0': 8.174794844303214, 'decision_function_shape': 'ovo', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.9763294156324485,0.9753842360483275,0.9761239418098134,0.9741092343730736,0.9760818641351251,0.9756057383997577,0.0008133298003587828,7,0.9764393924676585,0.9755761196855326,0.9763270920438697,0.974244703249687,0.9763161768908141,0.9757806968675125,0.0008270785519091399,7,0.9763294156324485,0.9753842360483275,0.9761239418098134,0.9741092343730736,0.9760818641351251,0.9756057383997577,0.0008133298003587828,7,0.9762979141903422,0.975352698132468,0.9760967127437136,0.9740734141471878,0.9760531234926396,0.9755747725412702,0.0008157903067273553,7
1438.38880777359,193.1850927840932,61.81630940437317,1.945718220002209,-8.526719439721749,ovo,2,scale,poly,"{'coef0': -8.526719439721749, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.12102408153201283,0.12554450562998273,0.11979123859620285,0.12250852751407554,0.11963177577775037,0.12170002581000487,0.0021822798895717844,100,0.08172233982105304,0.08485613897117075,0.08100134234362891,0.09035828442473065,0.08074015083379654,0.08373565127887597,0.0036226414050855556,100,0.12102408153201283,0.12554450562998273,0.11979123859620285,0.12250852751407554,0.11963177577775037,0.12170002581000487,0.0021822798895717844,100,0.09736444630227534,0.1010571784033944,0.09642176370153192,0.09883415413649198,0.09609134211064074,0.09795377693086688,0.0018203957431346853,100
1365.040109014511,153.04631386243025,95.42179508209229,3.028154225901081,4.613756258116961,ovr,5,scale,sigmoid,"{'coef0': 4.613756258116961, 'decision_function_shape': 'ovr', 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.4847127475959563,0.48384975754088927,0.4838908523054163,0.481568240660831,0.409033000452061,0.46861091971103075,0.029807341408297085,85,0.5715470355627965,0.5708440742436673,0.572524541745296,0.5709917420200874,0.44062213887577995,0.5453059064895254,0.05234520478740568,84,0.4847127475959563,0.48384975754088927,0.4838908523054163,0.481568240660831,0.409033000452061,0.46861091971103075,0.029807341408297085,85,0.5014374540317431,0.5010112279520569,0.5009498749401354,0.4985466458382115,0.38439827017337375,0.47726869458710414,0.04644631754363832,83
160.92477407455445,25.119663160463624,38.41833338737488,0.953266870084696,4.877205489467952,ovo,2,auto,rbf,"{'coef0': 4.877205489467952, 'decision_function_shape': 'ovo', 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.9703706747760336,0.9706172433631955,0.9699186323662365,0.9688899847943122,0.9698352032219619,0.969926347704348,0.0005928200877933378,26,0.9704446430588464,0.9707727027043833,0.9700820286990828,0.9689778394266052,0.9700297530960382,0.9700613933969912,0.0006047077583710692,26,0.9703706747760336,0.9706172433631955,0.9699186323662365,0.9688899847943122,0.9698352032219619,0.969926347704348,0.0005928200877933378,26,0.970304549323404,0.9705616676564317,0.9698604157304185,0.9688238726444042,0.9697822767197792,0.9698665564148875,0.0005948693379683516,26
1117.6335735321045,63.82860865477286,4.21981463432312,0.13584970181268538,9.841431268986355,ovr,4,auto,poly,"{'coef0': 9.841431268986355, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 'auto', 'kernel': 'poly'}",0.9767403632777184,0.9764937946905564,0.9778499219199474,0.9749722598939712,0.9777668187235442,0.9767646317011474,0.0010458271391320033,4,0.9768091590084211,0.9765785419840576,0.9779803918644662,0.9750204722444766,0.9779352657372161,0.9768647661677274,0.0010841611077992675,4,0.9767403632777184,0.9764937946905564,0.9778499219199474,0.9749722598939712,0.9777668187235442,0.9767646317011474,0.0010458271391320033,4,0.9767111553659561,0.9764634221275192,0.9778264307133885,0.9749380058204089,0.9777438585614913,0.9767365745177529,0.001050001465957956,4
186.59872608184816,3.545989229162533,5.936624765396118,0.192452281774716,-2.6350142485037997,ovr,3,scale,linear,"{'coef0': -2.6350142485037997, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.9655625873263746,0.9659735349716446,0.9660968192652256,0.9629309990547815,0.9660543295113632,0.9653236540258779,0.0012112723334489087,44,0.9655209010400521,0.9659644997052051,0.966209713479308,0.9629257589151581,0.9661038144047188,0.9653449375088885,0.0012321507350813627,44,0.9655625873263746,0.9659735349716446,0.9660968192652256,0.9629309990547815,0.9660543295113632,0.9653236540258779,0.0012112723334489087,44,0.9654727493203126,0.9658883972843058,0.9660217308502053,0.9628299403226322,0.9659733757234094,0.9652372387001732,0.001219170528091961,44
