mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_metric,param_leaf_size,param_algorithm,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Execution Time,Recall,Precision,Accuracy,F1,weights,p,n_neighbors,metric,leaf_size,algorithm
0.13072509765625,0.020409306892875727,20.862073516845705,0.9666774751283911,uniform,2,14,minkowski,33,brute,0.956564540484185,0.956127766263979,0.9577785640811952,0.9562479057183416,0.9585704834790485,0.9570578520053499,0.0009562330890056884,84,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,14,minkowski,33,brute
0.39378819465637205,0.039860683515020943,3.6261199951171874,0.2274899868411589,distance,2,9,manhattan,29,kd_tree,0.9645829759634584,0.9638397934439161,0.9644225837024304,0.9641944765407143,0.9662131564583248,0.9646505972217689,0.0008201954656286416,9,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,9,manhattan,29,kd_tree
0.3632084369659424,0.029318030348201858,3.65282826423645,0.45230313156995544,uniform,1,16,chebyshev,22,auto,0.9522272000564965,0.9506942760148044,0.9521023431715219,0.9518331206193281,0.9518247368414362,0.9517363353407176,0.0005436873652411824,99,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,1,16,chebyshev,22,auto
0.31719350814819336,0.042016652472046105,3.707212781906128,0.541014356344694,uniform,2,8,minkowski,36,auto,0.9593814271584123,0.9587704415346334,0.9604458866831503,0.9589320510587019,0.9609200319865865,0.9596899676842969,0.0008484851121824194,61,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,8,minkowski,36,auto
0.024933815002441406,0.004305908742773091,47.95943937301636,3.1538848153186945,distance,2,14,manhattan,27,brute,0.9631923537823507,0.9620804300678639,0.9634931965509386,0.9623706712565818,0.9644921878577597,0.9631257679030989,0.0008566729969386593,25,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,14,manhattan,27,brute
0.20972490310668945,0.03323192374391295,31.944313097000123,0.898786078228512,uniform,1,12,manhattan,37,ball_tree,0.9607704174365362,0.9595758539104968,0.9613590813274984,0.9603630232392394,0.9617824905832258,0.9607701732993993,0.00076990505680805,50,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,1,12,manhattan,37,ball_tree
0.26156249046325686,0.04819323492089207,25.154187440872192,1.2736368671823488,uniform,1,2,manhattan,35,ball_tree,0.9589106647893539,0.9573142178359886,0.9586877323240595,0.9578923732505368,0.9602897931017237,0.9586189562603324,0.0010111167083456762,75,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,1,2,manhattan,35,ball_tree
0.02580537796020508,0.0052583086495332195,25.115061473846435,3.567109364999298,uniform,2,10,euclidean,29,brute,0.9584691950048853,0.9576913216934421,0.9597015154239918,0.9580671832839941,0.9599728910299781,0.9587804212872582,0.0009013441816995122,73,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,10,euclidean,29,brute
0.25769333839416503,0.03608725930974342,1.9902703762054443,0.22222331747006835,distance,1,7,chebyshev,39,auto,0.9593608208750142,0.9591260430671739,0.9604359460603052,0.9595566045769897,0.961932475690113,0.9600823780539193,0.001025624757592636,57,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,1,7,chebyshev,39,auto
0.2682158946990967,0.0403859826759777,3.820072078704834,0.7610051849651706,uniform,2,13,chebyshev,32,kd_tree,0.953937669418245,0.9526075941881763,0.9545143992439509,0.9526497967626811,0.954635155996512,0.953668923121913,0.0008815552228138818,97,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,13,chebyshev,32,kd_tree
0.22498393058776855,0.01731799409611835,2.745541477203369,0.2521581478623704,uniform,2,7,minkowski,33,auto,0.9601017887933626,0.9599642755754786,0.9602196388429177,0.9595573371343725,0.9629981646785025,0.9605682410049268,0.001235340525353592,51,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,7,minkowski,33,auto
0.02967376708984375,0.00488141020507423,215.77255887985228,4.473431188748055,uniform,2,11,chebyshev,28,brute,0.9550423830180782,0.9544385085522964,0.9556420739220539,0.9533418727810068,0.9560564773964512,0.9549042631339774,0.0009538375661973618,93,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,uniform,2,11,chebyshev,28,brute
0.21739420890808106,0.008995445570532343,1.5073770523071288,0.12007550759955717,distance,2,6,euclidean,25,kd_tree,0.9635606636520858,0.963405743125528,0.9644370650169284,0.9634645815500046,0.9671268326197721,0.9643989771928638,0.0014145688131029417,11,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,6,euclidean,25,kd_tree
0.22855806350708008,0.015628261681639468,85.77524743080139,4.324333542066514,distance,2,1,chebyshev,35,ball_tree,0.9593588799841675,0.9579026767131069,0.9584693847105156,0.9577111491503727,0.9610746951126234,0.9589033571341572,0.001227457773592691,70,718.6430711746216,0.9701492537313433,0.970136097199792,0.9701492537313433,0.9700798425374865,distance,2,1,chebyshev,35,ball_tree
